uid,namedLocation,date,nonwoodyCollectDate,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,samplingImpractical,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,woodyTargetTaxaPresent,nonWoodyTargetTaxaPresent,treesPresent,shrubsPresent,lianasPresent,cactiPresent,fernsPresent,yuccasPresent,palmsPresent,ocotillosPresent,xerophyllumPresent,treeFernsPresent,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,nestedSubplotAreaFerns,nestedSubplotAreaOther,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,totalSampledAreaFerns,totalSampledAreaOther,remarks,measuredBy,recordedBy,dataQF
"b31d3a55-c3f6-47d6-8412-955c0ecd1b16","BART_019.basePlot.vst","2019-07-10",,"D01","BART","BART_019","distributed","mixedForest",44.069366,-71.286161,"WGS84",20.1,316921.10,4882118.34,"19N",240.3,0.2,,"vst_BART_2019",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"10","noneSelected",,"noneSelected",400,80,400,,400,,,,
"b657abb1-a189-4a10-b8ca-05f03aee821c","BART_040.basePlot.vst","2019-07-10",,"D01","BART","BART_040","tower","deciduousForest",44.065760,-71.291990,"WGS84",20.1,316443.15,4881730.79,"19N",260.2,0.2,,"vst_BART_2019",,,"21_400|41_400","NEON.DOC.000987vH","Y",,,"Y","Y","N","N","Y","N","N","N","N",,"25","noneSelected",,"100",800,100,800,,400,,,,
"9974754d-f0d2-42fa-bab7-7e8c0493d731","BART_032.basePlot.vst","2019-07-10",,"D01","BART","BART_032","tower","deciduousForest",44.067467,-71.287580,"WGS84",20.2,316801.60,4881910.57,"19N",244.7,0.3,,"vst_BART_2019",,,"23_400|39_400","NEON.DOC.000987vH","Y",,,"Y","Y","N","N","Y","N","N","N","N",,"25","noneSelected",,"noneSelected",800,100,800,,800,,,,
"e1e3aaf9-6d7b-454d-b941-7956cdf276a4","BART_039.basePlot.vst","2019-07-10",,"D01","BART","BART_039","tower","deciduousForest",44.063682,-71.288951,"WGS84",20.3,316680.12,4881493.21,"19N",270.8,0.5,,"vst_BART_2019",,,"39_400|41_400","NEON.DOC.000987vH","Y",,,"Y","Y","N","N","Y","N","N","N","N",,"100","noneSelected",,"25",800,400,800,,100,,,,
"e84c8297-e8c7-4860-b072-1fa4c6f51f32","BART_042.basePlot.vst","2019-07-10",,"D01","BART","BART_042","tower","deciduousForest",44.060194,-71.288052,"WGS84",20.2,316741.36,4881103.79,"19N",288.3,0.2,,"vst_BART_2019",,,"39_400|41_400","NEON.DOC.000987vH","Y",,,"Y","Y","N","N","Y","N","N","N","N",,"100","noneSelected",,"25",800,400,,,100,,,,
"9bd98c4b-d688-41cf-bb7c-22af075aacec","BART_041.basePlot.vst","2019-07-10",,"D01","BART","BART_041","tower","deciduousForest",44.065342,-71.285610,"WGS84",20.2,316952.82,4881670.16,"19N",260.9,0.4,,"vst_BART_2019",,,"23_400|39_400","NEON.DOC.000987vH","Y","Y","N","Y","Y","N","N","N","N","N","N","N",,"100","noneSelected",,"noneSelected",800,400,800,,800,,,,
"5624bee9-d4ce-4d62-9045-a7a6cca8771b","BART_036.basePlot.vst","2019-07-10",,"D01","BART","BART_036","tower","deciduousForest",44.062082,-71.285878,"WGS84",20.2,316921.30,4881308.66,"19N",291.0,0.2,,"vst_BART_2019",,,"21_400|41_400","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"25","noneSelected",,"noneSelected",800,100,800,,800,,,,
"b2de5fb1-d0a1-405b-8433-4647a646ed4b","BART_044.basePlot.vst","2019-07-10",,"D01","BART","BART_044","tower","deciduousForest",44.061036,-71.284327,"WGS84",20.1,317042.31,4881189.03,"19N",303.1,0.2,,"vst_BART_2019",,,"23_400|39_400","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"100","noneSelected",,"noneSelected",800,400,800,,800,,,,
"36e0541f-e2e4-4735-b7ee-e7d03097ac65","BART_046.basePlot.vst","2019-07-10",,"D01","BART","BART_046","tower","deciduousForest",44.059946,-71.285408,"WGS84",20.2,316952.36,4881070.36,"19N",303.0,0.3,,"vst_BART_2019",,,"39_400|41_400","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"100","noneSelected",,"noneSelected",800,400,800,,800,,,,
"f73717ae-a287-48b8-b018-d2ef3cab732d","BART_072.basePlot.vst","2019-07-10",,"D01","BART","BART_072","tower","deciduousForest",44.060735,-71.286187,"WGS84",20.3,316892.40,4881159.73,"19N",295.9,0.5,,"vst_BART_2019",,,"21_400|39_400","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"10","noneSelected",,"noneSelected",800,40,800,,800,,,,
"bb248ccb-dba0-4c26-b11f-1e48899e5388","BART_033.basePlot.vst","2019-07-10",,"D01","BART","BART_033","tower","deciduousForest",44.063198,-71.283663,"WGS84",20.2,317102.15,4881427.69,"19N",275.7,0.2,,"vst_BART_2019",,,"23_400|41_400","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"25","noneSelected",,"noneSelected",800,100,800,,800,,,,
"911d04e8-fd53-46c9-b4db-b014c8f44026","BART_047.basePlot.vst","2019-07-10",,"D01","BART","BART_047","tower","deciduousForest",44.064968,-71.290855,"WGS84",20.1,316531.60,4881640.29,"19N",262.9,0.2,,"vst_BART_2019",,,"21_400|41_400","NEON.DOC.000987vH","Y",,,"Y","Y","N","N","Y","N","N","N","N",,"100","noneSelected",,"100",800,400,800,,400,,,,
"4466342e-7d76-40a0-9f37-517adfce70b3","BART_034.basePlot.vst","2019-07-10",,"D01","BART","BART_034","tower","mixedForest",44.064284,-71.285608,"WGS84",20.2,316949.72,4881552.64,"19N",265.9,0.3,,"vst_BART_2019",,,"21_400|41_400","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"100","noneSelected",,"noneSelected",800,400,800,,800,,,,
"81cd2785-694b-4822-be5e-9a3277aea82f","BART_075.basePlot.vst","2019-07-10",,"D01","BART","BART_075","tower","mixedForest",44.059141,-71.286492,"WGS84",20.3,316863.06,4880983.36,"19N",297.0,0.4,,"vst_BART_2019",,,"23_400|41_400","NEON.DOC.000987vH","Y",,,"Y","Y","N","N","Y","N","N","N","N",,"100","noneSelected",,"noneSelected",800,400,800,,800,,,,
"6c7f5c06-c409-45c6-a014-79fa2ce8ef92","BART_070.basePlot.vst","2019-07-10",,"D01","BART","BART_070","tower","mixedForest",44.064338,-71.281440,"WGS84",20.2,317283.70,4881549.38,"19N",251.3,0.3,,"vst_BART_2019",,,"39_400|41_400","NEON.DOC.000987vH","Y",,,"Y","Y","N","N","Y","N","N","N","N",,"100","noneSelected",,"10",800,400,800,,40,,,,
"6aa020bf-d054-4c73-8431-fc140089feae","BART_051.basePlot.vst","2019-07-10",,"D01","BART","BART_051","tower","deciduousForest",44.062723,-71.287987,"WGS84",20.2,316754.37,4881384.55,"19N",283.9,0.4,,"vst_BART_2019",,,"39_400|41_400","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"25","noneSelected",,"noneSelected",800,100,800,,800,,,,
"c27f537c-d2cf-4b28-ba03-5a63a2ab606b","BART_074.basePlot.vst","2019-07-10",,"D01","BART","BART_074","tower","mixedForest",44.060251,-71.283200,"WGS84",20.1,317130.15,4881099.34,"19N",311.2,0.2,,"vst_BART_2019",,,"39_400|41_400","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"25","noneSelected",,"noneSelected",800,100,800,,800,,,,
"43843b04-fecb-4604-8487-3b2f582b37aa","BART_037.basePlot.vst","2019-07-10",,"D01","BART","BART_037","tower","deciduousForest",44.061598,-71.283244,"WGS84",20.2,317130.78,4881249.05,"19N",290.6,0.2,,"vst_BART_2019",,,"21_400|41_400","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"100","noneSelected",,"noneSelected",800,400,800,,800,,,,
"d8ff2f25-a9d2-4c8f-b812-7cd6214258a3","BART_050.basePlot.vst","2019-07-10",,"D01","BART","BART_050","tower","mixedForest",44.061510,-71.287690,"WGS84",20.2,316774.41,4881249.16,"19N",287.7,0.3,,"vst_BART_2019",,,"21_400|41_400","NEON.DOC.000987vH","Y",,,"Y","Y","N","N","Y","N","N","N","N",,"100","noneSelected",,"25",800,400,800,,100,,,,
"1fc75ec3-2849-440d-b5c9-a556b92ce340","BART_071.basePlot.vst","2019-07-10",,"D01","BART","BART_071","tower","mixedForest",44.067944,-71.290624,"WGS84",20.1,316559.30,4881970.33,"19N",256.4,0.2,,"vst_BART_2019",,,"21_400|39_400","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"25","noneSelected",,"noneSelected",800,100,800,,800,,,,
"d2a2eff3-e441-494a-b605-e99204ae0297","BART_073.basePlot.vst","2019-07-15",,"D01","BART","BART_073","tower","mixedForest",44.064774,-71.288616,"WGS84",20.1,316710.32,4881613.76,"19N",274.9,0.2,,"vst_BART_2019",,,"23_400|39_400","NEON.DOC.000987vH","Y",,,"Y","Y","N","N","Y","N","N","N","N",,"25","noneSelected",,"noneSelected",800,100,,,800,,,,
