uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataEntryRecordID,dataQF
"9a7a4263-0936-4bae-ac27-78052c2e3069","UNDE_044.basePlot.vst","2019-10-28","vst_UNDE_2019","D05","UNDE","UNDE_044","39_25_1","NEON.PLA.D05.UNDE.03956",,"ok","sapling","Live",,,,1.8,,,,,,,,1.5,10,,,,,,,,,,,,"0000-0002-3044-1400","0000-0002-3030-0990",,
"194f6e74-2c1e-496e-a826-677bf59ebbc1","UNDE_043.basePlot.vst","2019-10-28","vst_UNDE_2019","D05","UNDE","UNDE_043","39_25_1","NEON.PLA.D05.UNDE.05504",,"ok","small shrub","Live",,,,1.9,,,,1.3,1.1,,"inverted cone",1.8,10,0.18,0.10,,,,,,,,,,"0000-0002-3044-1400","0000-0002-3030-0990",,
"02252af1-a1ba-4e0b-87de-40fdfcfbf014","UNDE_043.basePlot.vst","2019-10-28","vst_UNDE_2019","D05","UNDE","UNDE_043","23_400","NEON.PLA.D05.UNDE.09572",,"ok","single bole tree","Live",29.5,130,,23.6,,,,,,,,,,,,,,,,,,,,,"0000-0002-3044-1400","0000-0002-3030-0990",,
"13698a9e-2c7c-44a7-b9eb-9ee542085320","UNDE_044.basePlot.vst","2019-10-28","vst_UNDE_2019","D05","UNDE","UNDE_044","31_25_4","NEON.PLA.D05.UNDE.01647",,"ok","small shrub","Live",,,,1.4,,,,0.9,0.6,,"inverted cone",1.1,10,0.08,0.03,,,,,,,,,,"0000-0002-3044-1400","0000-0002-3030-0990",,
"ac66587c-7a67-4b41-b93f-c492d19cd9fa","UNDE_043.basePlot.vst","2019-10-28","vst_UNDE_2019","D05","UNDE","UNDE_043","48_25_3","NEON.PLA.D05.UNDE.09007",,"ok","small shrub","Live",,,,2.1,,,,2.1,1.5,,"inverted cone",1.1,10,0.26,0.13,,,,,,,,,,"0000-0002-3044-1400","0000-0002-3030-0990",,
"457a6790-8b31-488b-ba2a-dc09f20f0005","UNDE_043.basePlot.vst","2019-10-28","vst_UNDE_2019","D05","UNDE","UNDE_043","39_400","NEON.PLA.D05.UNDE.03477",,"ok","single bole tree","Live",16.2,130,,14.2,,,,,,,,,,,,,,,,,,,,,"0000-0002-3044-1400","0000-0002-3030-0990",,
"2d63f5b7-96f6-4896-bd7d-a3a8e9f697cd","UNDE_043.basePlot.vst","2019-10-28","vst_UNDE_2019","D05","UNDE","UNDE_043","48_25_3","NEON.PLA.D05.UNDE.01544",,"ok","small shrub","Live",,,,1.1,0.8,,,1.0,0.8,,"ellipsoid or sphere",1.0,10,,,,,,,,,,,,"0000-0002-3044-1400","0000-0002-3030-0990",,
"8440faa5-6129-4750-b01c-66ab917bda57","UNDE_044.basePlot.vst","2019-10-28","vst_UNDE_2019","D05","UNDE","UNDE_044","31_25_4","NEON.PLA.D05.UNDE.03958",,"ok","sapling","Live",,,,1.8,,,,,,,,1.4,10,,,,,,,,,,,,"0000-0002-3044-1400","0000-0002-3030-0990",,
"4587a7b9-49e2-45ea-86c0-3374bba0fd36","UNDE_043.basePlot.vst","2019-10-28","vst_UNDE_2019","D05","UNDE","UNDE_043","24_25_2","NEON.PLA.D05.UNDE.00690",,"ok","small shrub","Live",,,,1.4,,,,1.4,0.9,,"inverted cone",1.1,10,0.80,0.20,,,,,,,,,,"0000-0002-3044-1400","0000-0002-3030-0990",,
"01b9d710-6c58-4a71-b5d1-8961532e6040","UNDE_044.basePlot.vst","2019-10-28","vst_UNDE_2019","D05","UNDE","UNDE_044","31_25_4","NEON.PLA.D05.UNDE.01974",,"ok","small tree","Live",1.3,130,,2.7,,,,,,,,,,,,,,,,,,,,,"0000-0002-3044-1400","0000-0002-3030-0990",,
"436e92e1-e450-4721-84d1-a0b0703a5875","UNDE_044.basePlot.vst","2019-10-28","vst_UNDE_2019","D05","UNDE","UNDE_044","21_400","NEON.PLA.D05.UNDE.01590",,"ok","single bole tree","Live",10.4,130,,9.9,,,,,,,,,,,,,,,,,,,,,"0000-0002-3044-1400","0000-0002-3030-0990",,
"a5872e65-33d6-4f81-9cc5-6b5b9effb05d","UNDE_043.basePlot.vst","2019-10-28","vst_UNDE_2019","D05","UNDE","UNDE_043","48_25_3","NEON.PLA.D05.UNDE.09007",,"ok","small shrub","Live",,,,2.1,,,,2.1,1.5,,"inverted cone",1.4,10,0.26,0.13,,,,,,,,,,"0000-0002-3044-1400","0000-0002-3030-0990",,
"e5dd85db-fc8e-4940-8fe3-ae0643080e09","UNDE_043.basePlot.vst","2019-10-28","vst_UNDE_2019","D05","UNDE","UNDE_043","24_25_2","NEON.PLA.D05.UNDE.02208",,"ok","small tree","Live",3.9,130,,5.2,,,,,,,,,,,,,,,,,,,,,"0000-0002-3044-1400","0000-0002-3030-0990",,
"ef1e1b5b-dbad-4fb6-9a2a-81a9feb96306","UNDE_043.basePlot.vst","2019-10-28","vst_UNDE_2019","D05","UNDE","UNDE_043","39_400","NEON.PLA.D05.UNDE.03434",,"ok","single bole tree","Live",29.9,130,,21.6,,,,,,,,,,,,,,,,,,,,"Potr","0000-0002-3044-1400","0000-0002-3030-0990",,
"f548ecb5-e7d7-4a7b-9f9a-0d551b0895f4","UNDE_044.basePlot.vst","2019-10-28","vst_UNDE_2019","D05","UNDE","UNDE_044","31_25_4","NEON.PLA.D05.UNDE.01483",,"ok","single shrub","Live",1.5,130,,3.3,,,,1.8,1.4,,"inverted cone",2.1,10,0.07,0.02,,,,,,,,,,"0000-0002-3044-1400","0000-0002-3030-0990",,
"78baf4d0-4bb2-404a-bff2-f42a710ed4f5","UNDE_043.basePlot.vst","2019-10-28","vst_UNDE_2019","D05","UNDE","UNDE_043","39_400","NEON.PLA.D05.UNDE.09097",,"ok",,"No longer qualifies",,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-3044-1400","0000-0002-3030-0990",,
"2c4f6336-384d-4beb-a336-e121a331a996","UNDE_044.basePlot.vst","2019-10-28","vst_UNDE_2019","D05","UNDE","UNDE_044","21_25_1","NEON.PLA.D05.UNDE.03020",,"ok","small tree","Live",6.1,130,,7.8,,,,,,,,,,,,,,,,,,,,,"0000-0002-3044-1400","0000-0002-3030-0990",,
"00618a1a-0101-48e5-bd9c-08fbc41c8099","UNDE_044.basePlot.vst","2019-10-28","vst_UNDE_2019","D05","UNDE","UNDE_044","39_25_1","NEON.PLA.D05.UNDE.01662",,"ok","sapling","Live",,,,1.0,,,,,,,,1.1,10,,,,,,,,,,,,"0000-0002-3044-1400","0000-0002-3030-0990",,
"8cc929dc-aaaa-4fb9-942e-4278701b9f86","UNDE_044.basePlot.vst","2019-10-28","vst_UNDE_2019","D05","UNDE","UNDE_044","21_400","NEON.PLA.D05.UNDE.00221",,,,"Lost, fate unknown",,,,,,,,,,,,,,,,,,,,,,,,"We think we found it but can't see the tag because it is downed","0000-0002-3044-1400","0000-0002-3030-0990",,
"7ee83eba-0e4c-46f1-9c81-3d27eac9d970","UNDE_044.basePlot.vst","2019-10-28","vst_UNDE_2019","D05","UNDE","UNDE_044","39_400","NEON.PLA.D05.UNDE.01481",,"ok","single bole tree","Dead, broken bole",22.9,130,,12.6,,12.6,,,,,,,,,,,,,,,,,,,"0000-0002-3044-1400","0000-0002-3030-0990",,
"16ab9803-2414-47c8-822a-4bd39250566a","UNDE_043.basePlot.vst","2019-10-28","vst_UNDE_2019","D05","UNDE","UNDE_043","48_25_3","NEON.PLA.D05.UNDE.05352",,"ok","small shrub","Live",,,,1.5,0.3,,,1.1,1.0,,"ellipsoid or sphere",1.2,10,,,,,,,,,,,,"0000-0002-3044-1400","0000-0002-3030-0990",,
"ddcca42e-3ed5-4ecd-8a24-3532261b624e","UNDE_043.basePlot.vst","2019-10-28","vst_UNDE_2019","D05","UNDE","UNDE_043","23_400","NEON.PLA.D05.UNDE.09573",,"ok","single bole tree","Live",32.1,130,,22.5,,,,,,,,,,,,,,,,,,,,,"0000-0002-3044-1400","0000-0002-3030-0990",,
"6891cf92-55b4-4a9a-bb4f-9676012bca0e","UNDE_044.basePlot.vst","2019-10-28","vst_UNDE_2019","D05","UNDE","UNDE_044","31_25_4","NEON.PLA.D05.UNDE.03262",,"ok","sapling","Live",,,,2.1,,,,,,,,1.3,10,,,,,,,,,,,,"0000-0002-3044-1400","0000-0002-3030-0990",,
"130369f9-0493-41ec-a750-e0ad97f93f33","UNDE_044.basePlot.vst","2019-10-28","vst_UNDE_2019","D05","UNDE","UNDE_044","31_25_4","NEON.PLA.D05.UNDE.05164",,"ok","sapling","Standing dead",,,,1.8,,,,,,,,1.9,10,,,,,,,,,,,,"0000-0002-3044-1400","0000-0002-3030-0990",,
"2c58f50c-9eae-49ba-9148-a7629ce117da","UNDE_044.basePlot.vst","2019-10-28","vst_UNDE_2019","D05","UNDE","UNDE_044","31_25_4","NEON.PLA.D05.UNDE.03962",,"ok","sapling","Live",,,,2.0,,,,,,,,1.2,10,,,,,,,,,,,,"0000-0002-3044-1400","0000-0002-3030-0990",,
"49bcc269-270a-4cce-8e57-45f650337247","UNDE_043.basePlot.vst","2019-10-28","vst_UNDE_2019","D05","UNDE","UNDE_043","33_25_4","NEON.PLA.D05.UNDE.09589",,"ok","small tree","Live",4.8,130,,8.6,,,,,,,,,,,,,,,,,,,,,"0000-0002-3044-1400","0000-0002-3030-0990",,
"6914d38e-077f-4bc0-b978-cbf16d4082af","UNDE_044.basePlot.vst","2019-10-28","vst_UNDE_2019","D05","UNDE","UNDE_044","31_25_4","NEON.PLA.D05.UNDE.05358",,"ok","small tree","Live",1.1,130,,2.3,,,,,,,,,,,,,,,,,,,,,"0000-0002-3044-1400","0000-0002-3030-0990",,
"1f666550-2707-4f5d-957e-a48874591cdd","UNDE_044.basePlot.vst","2019-10-28","vst_UNDE_2019","D05","UNDE","UNDE_044","39_25_1","NEON.PLA.D05.UNDE.01682",,"ok","sapling","Live, broken bole",,,,0.4,,0.2,1.0,,,,,1.0,10,,,,,,,,,,,,"0000-0002-3044-1400","0000-0002-3030-0990",,
"d402c6ae-d266-4405-b331-78420552f274","UNDE_044.basePlot.vst","2019-10-28","vst_UNDE_2019","D05","UNDE","UNDE_044","31_25_4","NEON.PLA.D05.UNDE.00240",,"ok","single shrub","Live",1.8,130,,3.5,0.9,,,2.5,1.9,,"ellipsoid or sphere",2.6,10,,,,,,,,,,,,"0000-0002-3044-1400","0000-0002-3030-0990",,
