uid,namedLocation,date,nonwoodyCollectDate,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,samplingImpractical,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,woodyTargetTaxaPresent,nonWoodyTargetTaxaPresent,treesPresent,shrubsPresent,lianasPresent,cactiPresent,fernsPresent,yuccasPresent,palmsPresent,ocotillosPresent,xerophyllumPresent,treeFernsPresent,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,nestedSubplotAreaFerns,nestedSubplotAreaOther,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,totalSampledAreaFerns,totalSampledAreaOther,remarks,measuredBy,recordedBy,dataQF
"5969e2d1-77dd-4c1d-810f-28330382346c","HARV_033.basePlot.vst","2019-07-10",,"D01","HARV","HARV_033","tower","deciduousForest",42.538302,-72.175607,"WGS84",20.2,731935.97,4713412.66,"18N",358.8,0.2,,"vst_HARV_2019",,,"21_400|23_400","NEON.DOC.000987vH","Y",,,"Y","Y","N","N","Y","N","N","N","N",,"100","noneSelected",,"noneSelected",800,400,800,,400,,,,
"65d570f4-0063-41e8-abd3-93c4e1df5d0c","HARV_012.basePlot.vst","2019-07-10",,"D01","HARV","HARV_012","distributed","deciduousForest",42.429486,-72.239802,"WGS84",20.2,727057.47,4701154.83,"18N",233.3,0.2,,"vst_HARV_2019",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"10","noneSelected",,"noneSelected",400,80,400,,400,,,,
"f7fa9a33-86d4-4431-8432-8c12e3156f3a","HARV_036.basePlot.vst","2019-07-10",,"D01","HARV","HARV_036","tower","deciduousForest",42.542123,-72.173119,"WGS84",20.1,732126.13,4713843.80,"18N",368.2,0.2,,"vst_HARV_2019",,,"21_400|23_400","NEON.DOC.000987vH","Y",,,"Y","Y","N","N","Y","N","N","N","N",,"25","noneSelected",,"1",800,100,800,,4,,,,
"2aa93a15-5aaa-4746-b5f7-557f3c253b23","HARV_008.basePlot.vst","2019-07-10",,"D01","HARV","HARV_008","distributed","deciduousForest",42.444557,-72.226082,"WGS84",20.2,728131.45,4702865.25,"18N",242.2,0.2,,"vst_HARV_2019",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"10","noneSelected",,"noneSelected",400,80,400,,400,,,,
"b98eb028-d215-4687-8546-5b64a4bca0ba","HARV_010.basePlot.vst","2019-07-10",,"D01","HARV","HARV_010","distributed","mixedForest",42.424723,-72.254599,"WGS84",20.1,725857.27,4700586.41,"18N",206.9,0.1,,"vst_HARV_2019",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"10","noneSelected",,"noneSelected",400,80,400,,400,,,,
"24f59c25-aa23-4989-b795-7ec24e71d7d8","HARV_027.basePlot.vst","2019-07-10",,"D01","HARV","HARV_027","distributed","evergreenForest",42.430350,-72.253258,"WGS84",20.1,725947.38,4701214.85,"18N",183.1,0.2,,"vst_HARV_2019",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"noneSelected","noneSelected",,"noneSelected",400,400,400,,400,,,,
"46d4e5fb-7bec-4018-affd-80ccb8fdd405","HARV_014.basePlot.vst","2019-07-10",,"D01","HARV","HARV_014","distributed","mixedForest",42.471449,-72.265709,"WGS84",20.1,724775.96,4705745.78,"18N",199.4,0.2,,"vst_HARV_2019",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"10","noneSelected",,"noneSelected",400,80,400,,400,,,,
"cd6c6f6c-b7c4-4be0-8b11-7f7b430944bf","HARV_034.basePlot.vst","2019-07-10",,"D01","HARV","HARV_034","tower","evergreenForest",42.535686,-72.177968,"WGS84",20.3,731751.76,4713115.68,"18N",372.1,0.4,,"vst_HARV_2019",,,"23_400|39_400","NEON.DOC.000987vH","Y",,,"Y","Y","N","N","Y","N","N","N","N",,"10","noneSelected",,"100",800,40,800,,400,,,,
"14baa558-6cdf-4abb-9662-0b85db6ae514","HARV_017.basePlot.vst","2019-07-10",,"D01","HARV","HARV_017","distributed","deciduousForest",42.481741,-72.267080,"WGS84",20.1,724626.41,4706885.06,"18N",226.4,0.2,,"vst_HARV_2019",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"10","noneSelected",,"noneSelected",400,80,400,,400,,,,
"a3bbb9c7-c2d3-4287-9a0b-6e4ce85e1c47","HARV_025.basePlot.vst","2019-07-10",,"D01","HARV","HARV_025","distributed","mixedForest",42.475428,-72.273927,"WGS84",20.2,724086.14,4706165.89,"18N",179.6,0.5,,"vst_HARV_2019",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vH","Y",,"N","Y","Y","Y","N","N","N","N","N","N",,"noneSelected","noneSelected",,"noneSelected",400,400,400,,400,,,,
"bb071426-54f8-4655-9077-997697da160e","HARV_037.basePlot.vst","2019-07-10",,"D01","HARV","HARV_037","tower","evergreenForest",42.537308,-72.179312,"WGS84",20.1,731635.38,4713292.13,"18N",361.9,0.2,,"vst_HARV_2019",,,"23_400|41_400","NEON.DOC.000987vH","Y",,,"Y","Y","N","N","Y","N","N","N","N",,"10","noneSelected",,"noneSelected",800,40,800,,800,,,,
"8341d9c8-78b9-46d4-87bd-699a4bd49d13","HARV_005.basePlot.vst","2019-07-10",,"D01","HARV","HARV_005","distributed","deciduousForest",42.489469,-72.275158,"WGS84",20.1,723934.82,4707721.88,"18N",189.8,0.3,,"vst_HARV_2019",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"25","noneSelected",,"noneSelected",400,200,400,,400,,,,
"f333aa18-8e64-4ccd-b4df-0805a7336483","HARV_015.basePlot.vst","2019-07-10",,"D01","HARV","HARV_015","distributed","deciduousForest",42.538822,-72.182055,"WGS84",20.1,731404.51,4713452.76,"18N",363.0,0.1,,"vst_HARV_2019",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"noneSelected","noneSelected",,"noneSelected",400,400,400,,400,,,,
"7035d356-e962-42d8-bbf0-6401fd95f8af","HARV_002.basePlot.vst","2019-07-10",,"D01","HARV","HARV_002","distributed","deciduousForest",42.478565,-72.259572,"WGS84",20.1,725254.96,4706552.29,"18N",193.6,0.1,,"vst_HARV_2019",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"10","noneSelected",,"noneSelected",400,80,400,,400,,,,
"a0581804-6c98-4da1-8a3b-ca226e4240c5","HARV_001.basePlot.vst","2019-07-10",,"D01","HARV","HARV_001","distributed","deciduousForest",42.424246,-72.258285,"WGS84",20.1,725555.73,4700523.64,"18N",190.0,0.2,,"vst_HARV_2019",,,"31_100|32_100|40_100|41_100","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"1","noneSelected",,"noneSelected",400,8,400,,400,,,,
"2ba2853a-33c4-4eb4-bd19-fc73a34fb86e","HARV_035.basePlot.vst","2019-07-10",,"D01","HARV","HARV_035","tower","evergreenForest",42.539966,-72.178072,"WGS84",20.2,731727.38,4713590.70,"18N",365.8,0.3,,"vst_HARV_2019",,,"21_400|23_400","NEON.DOC.000987vH","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"100","noneSelected",,"noneSelected",800,400,800,,800,,,,
